SubjectID,block,width,p
JB578,3.000000,0.000000,0.073912
JB578,1.000000,0.000000,0.158099
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.329806
JB578,1.000000,0.000000,0.158099
JB578,2.000000,0.000000,0.179659
JB578,3.000000,0.000000,0.953032
JB578,1.000000,0.000000,0.105953
JB578,2.000000,0.000000,0.179659
JB578,3.000000,0.000000,0.202942
JB578,1.000000,0.000000,0.698065
JB578,2.000000,0.000000,0.966327
JB578,3.000000,0.000000,0.487349
JB578,1.000000,0.000000,0.158099
JB578,2.000000,0.000000,0.463295
JB578,3.000000,0.000000,0.134497
JB578,1.000000,0.000000,0.370071
JB578,2.000000,0.000000,0.057831
JB578,3.000000,0.000000,0.073912
JB578,1.000000,0.000000,0.228907
JB578,2.000000,0.000000,0.129266
JB578,3.000000,0.000000,0.535922
JB578,1.000000,0.000000,0.158099
JB578,2.000000,0.000000,0.463295
JB578,3.000000,0.000000,0.704110
JB578,1.000000,0.000000,0.105953
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.202942
JB578,1.000000,0.000000,0.590013
JB578,2.000000,0.000000,0.057831
JB578,3.000000,0.000000,0.487349
JB578,1.000000,0.000000,0.478069
JB578,2.000000,0.000000,0.129266
JB578,3.000000,0.000000,0.794317
JB578,1.000000,0.000000,0.370071
JB578,2.000000,0.000000,0.057831
JB578,3.000000,0.000000,0.134497
JB578,1.000000,0.000000,0.228907
JB578,2.000000,0.000000,0.344905
JB578,3.000000,0.000000,0.651875
JB578,1.000000,0.000000,0.680541
JB578,2.000000,0.000000,0.901795
JB578,3.000000,0.000000,0.134497
JB578,1.000000,0.000000,0.553599
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.073912
JB578,1.000000,0.000000,0.370071
JB578,2.000000,0.000000,0.683675
JB578,3.000000,0.000000,0.329806
JB578,1.000000,0.000000,0.926385
JB578,2.000000,0.000000,0.263300
JB578,3.000000,0.000000,0.134497
JB578,1.000000,0.000000,0.553599
JB578,2.000000,0.000000,0.057831
JB578,3.000000,0.000000,0.487349
JB578,1.000000,0.000000,0.319889
JB578,2.000000,0.000000,0.966327
JB578,3.000000,0.000000,0.231579
JB578,1.000000,0.000000,0.319889
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.535922
JB578,1.000000,0.000000,0.319889
JB578,2.000000,0.000000,0.129266
JB578,3.000000,0.000000,0.073912
JB578,1.000000,0.000000,0.429838
JB578,2.000000,0.000000,0.263300
JB578,3.000000,0.000000,0.231579
JB578,1.000000,0.000000,0.429838
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.329806
JB578,1.000000,0.000000,0.553599
JB578,2.000000,0.000000,0.463295
JB578,3.000000,0.000000,0.369062
JB578,1.000000,0.000000,0.680541
JB578,2.000000,0.000000,0.057831
JB578,3.000000,0.000000,0.953032
JB578,1.000000,0.000000,0.553599
JB578,2.000000,0.000000,0.083106
JB578,3.000000,0.000000,0.231579
JB578,1.000000,0.000000,0.680541
JB578,2.000000,0.000000,0.344905
JB578,3.000000,0.000000,0.231579
JB578,1.000000,0.000000,0.680541
JB578,2.000000,0.000000,0.344905
JB578,3.000000,0.000000,0.535922
JB578,1.000000,0.000000,0.794094
JB578,2.000000,0.000000,0.179659
JB578,3.000000,0.000000,0.231579
JB578,1.000000,0.000000,0.158099
JB578,2.000000,0.000000,0.344905
JB578,3.000000,0.000000,0.369062
JB578,1.000000,0.000000,0.590013
JB578,2.000000,0.000000,0.263300
JB578,3.000000,0.000000,0.369062
JB578,1.000000,0.000000,0.553599
JB578,2.000000,0.000000,0.344905
JB578,3.000000,0.000000,0.704110
JB578,1.000000,0.000000,0.319889
JB578,2.000000,0.000000,0.263300
JB578,3.000000,0.000000,0.231579
